Algorithm,DataType,Size,Time,Memory (KB)
Bubble,Random,100,0.000459,0.89
Selection,Random,100,0.000314,0.89
Insertion,Random,100,0.000141,0.86
Merge,Random,100,0.000670,2.30
Quick,Random,100,0.000775,6.17
Bubble,Sorted,100,0.000012,0.89
Selection,Sorted,100,0.000370,0.89
Insertion,Sorted,100,0.000013,0.86
Merge,Sorted,100,0.000423,1.98
Quick,Sorted,100,0.000684,3.04
Bubble,Reversed,100,0.000615,0.89
Selection,Reversed,100,0.000273,0.89
Insertion,Reversed,100,0.000356,0.86
Merge,Reversed,100,0.000493,1.98
Quick,Reversed,100,0.000799,3.12
Bubble,Almost_Sorted,100,0.000361,0.89
Selection,Almost_Sorted,100,0.000412,0.89
Insertion,Almost_Sorted,100,0.000037,0.86
Merge,Almost_Sorted,100,0.000419,1.86
Quick,Almost_Sorted,100,0.000731,3.20
Bubble,Random,500,0.092124,4.15
Selection,Random,500,0.060395,4.14
Insertion,Random,500,0.040965,4.06
Merge,Random,500,0.003033,8.27
Quick,Random,500,0.004393,25.42
Bubble,Sorted,500,0.000385,4.12
Selection,Sorted,500,0.059649,4.14
Insertion,Sorted,500,0.000510,4.06
Merge,Sorted,500,0.001840,9.80
Quick,Sorted,500,0.002575,12.80
Bubble,Reversed,500,0.100532,4.15
Selection,Reversed,500,0.060517,4.14
Insertion,Reversed,500,0.052107,4.06
Merge,Reversed,500,0.001858,9.80
Quick,Reversed,500,0.002604,12.83
Bubble,Almost_Sorted,500,0.051264,4.15
Selection,Almost_Sorted,500,0.067021,4.14
Insertion,Almost_Sorted,500,0.006545,4.06
Merge,Almost_Sorted,500,0.002000,8.28
Quick,Almost_Sorted,500,0.003474,13.67
Bubble,Random,1000,0.740703,8.09
Selection,Random,1000,0.316841,8.09
Insertion,Random,1000,0.317057,7.96
Merge,Random,1000,0.006780,16.84
Quick,Random,1000,0.007794,35.66
Bubble,Sorted,1000,0.001045,8.03
Selection,Sorted,1000,0.332290,8.09
Insertion,Sorted,1000,0.001757,7.96
Merge,Sorted,1000,0.005349,19.59
Quick,Sorted,1000,0.005399,24.91
Bubble,Reversed,1000,0.883626,8.09
Selection,Reversed,1000,0.341629,8.09
Insertion,Reversed,1000,0.459085,7.96
Merge,Reversed,1000,0.004832,19.59
Quick,Reversed,1000,0.005873,24.93
Bubble,Almost_Sorted,1000,0.417868,8.09
Selection,Almost_Sorted,1000,0.293298,8.09
Insertion,Almost_Sorted,1000,0.042820,7.96
Merge,Almost_Sorted,1000,0.006090,16.95
Quick,Almost_Sorted,1000,0.006227,26.01
Bubble,Random,2000,3.659584,15.90
Selection,Random,2000,1.241679,15.90
Insertion,Random,2000,1.450138,15.78
Merge,Random,2000,0.018284,33.28
Quick,Random,2000,0.015548,66.74
Bubble,Sorted,2000,0.002654,15.84
Selection,Sorted,2000,1.242328,15.90
Insertion,Sorted,2000,0.004048,15.78
Merge,Sorted,2000,0.012555,39.12
Quick,Sorted,2000,0.011307,49.98
Bubble,Reversed,2000,4.695180,15.90
Selection,Reversed,2000,1.271123,15.90
Insertion,Reversed,2000,2.441986,15.78
Merge,Reversed,2000,0.012513,39.12
Quick,Reversed,2000,0.011686,50.00
Bubble,Almost_Sorted,2000,2.232625,15.90
Selection,Almost_Sorted,2000,1.229242,15.90
Insertion,Almost_Sorted,2000,0.177832,15.78
Merge,Almost_Sorted,2000,0.016924,34.22
Quick,Almost_Sorted,2000,0.013128,51.34
Merge,Random,5000,0.070241,81.92
Quick,Random,5000,0.037447,171.09
Merge,Sorted,5000,0.044679,97.72
Quick,Sorted,5000,0.031474,123.45
Merge,Reversed,5000,0.044870,97.72
Quick,Reversed,5000,0.031738,123.55
Merge,Almost_Sorted,5000,0.068883,82.52
Quick,Almost_Sorted,5000,0.032451,149.78
